Ano,M,Faturamento
2018,Janeiro,1130384.903
2018,Fevereiro,931184.1257
2018,Marco,1295271.154
2018,Abril,1009695.634
2018,Maio,953436.8571
2018,Junho,1216644.251
2018,Julho,1104920.731
2018,Agosto,1240725.966
2018,Setembro,1271502.663
2018,Outubro,1363016.08
2018,Novembro,1616578.743
2018,Dezembro,1290521.806
2019,Janeiro,1466808.297
2019,Fevereiro,1258425.669
2019,Marco,1278398.88
2019,Abril,1518631.474
2019,Maio,1651992.034
2019,Junho,2054103.269
2019,Julho,1741722.377
2019,Agosto,1661897.589
2019,Setembro,1652591.554
2019,Outubro,1805234.08
2019,Novembro,1735380.137
2019,Dezembro,1470838.48
2020,Janeiro,1735218.857
2020,Fevereiro,1304661.726
2020,Marco,1620383.817
2020,Abril,1329133.12
2020,Maio,1710247.714
2020,Junho,1834023.2
2020,Julho,2317362.754
2020,Agosto,1769487.977
2020,Setembro,1763744.731
2020,Outubro,1713348.846
2020,Novembro,1719788.457
2020,Dezembro,1449624.629